1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
1,unknown
2,unresponsive
3,error
4,not needed
5,found elsewhere
6,lead time
7,price
8,credit
